Name,Cost,Cuisine,Featured_in,Hours,Votes,Rating,Location,Type,View_menu,Book_table,Outlets,Delivery,Call
7 Star Biryani,250,1, ,11am – 12midnight (Mon-Sun),15,3.3,Koramangala 6th Block,1,1,1, ,0,1
7 Wonders Lounge, ,4, ,12noon – 11:30pm (Mon-Sun),22,3.9,Nagarbhavi, ,1,1, ,0,1
70 Brigade - Iris Hotel,1000,3, ,7am – 10:45pm (Mon-Sun),103,3.9,Brigade Road,1,1,1, ,0,1
8 Slice,600,1,1,6pm – 6am (Mon-Sun),73,3.8,Koramangala 6th Block,1,1,1, ,0,1
99 Caffe,300,2, ,6am – 11pm (Mon-Sun),98,3.8,Brookefield,1,1,1, ,0,1
99 Pancakes,300,2,1,"11am – 1am (Mon-Thu),11am – 2am (Fri-Sun)",276,4.5,Koramangala 5th Block,2,1,1, ,0,1
99 Variety Dosa and Pav Bhaji,300,3,1,12:15pm – 10:30pm (Mon-Sun),85,3.6,"Krishna Kuteer, HSR",1,1,1, ,1,1
9D Foods,400,2, ,"12noon – 3:30pm, 6:30pm – 11pm (Mon-Sun)",405,4.2,Marathahalli,1,1,1, ,0,1
9th Cross Cafe,550,3, ,3:30pm – 10:30pm (Mon-Sun),12,3.6,Jeevan Bhima Nagar,2,0,0, ,0,1
9th Mile Dhaba - Royal Orchid Resort,1200,2, ,"12noon – 3:30pm, 7pm – 11:30pm (Mon-Sun)",369,4,"Royal Orchid Resort, Yelahanka",1,1,1, ,1,1
A 1 Pizza and Food,300,3, ,24 Hours (Mon-Sun),204,2.5,Old Airport Road,1,1,1, ,0,1
A Bar,600,2, ,12noon – 11:30pm (Mon-Sun),18,3.2,HSR,1,0,0, ,0,1
A Hole Lotta Love Cafe,600,2,1,"Closed (Mon),10am – 10pm (Tue-Fri),9am – 6pm...",2751,4.4,Koramangala 5th Block,1,1,1, ,0,1
A.M New Punjab Food Corner,350,2, ,"12noon – 4pm, 6:30pm – 11pm (Mon-Sun)",20,3.5,Koramangala 1st Block, ,1,1, ,0,1
A1 Biriyani Point,200,1, ,11am – 11pm (Mon-Sun),9,3.1,Seshadripuram,1,1,0, ,0,1
A1 Hot Dum Biryani,150,1, ,11am – 11pm (Mon-Sun),4,3.3,Whitefield,1,1,0, ,0,1
A2B - Adyar Ananda Bhavan,200,3, ,7am – 11pm (Mon-Sun),661,3.9,BTM,1,1,1,36,0,1
A3 Nuwang Kitchen,350,2, ,12noon – 11pm (Mon-Sun),40,3.7,Ejipura,1,1,1, ,0,1
Aadvik Nightfood,350,1, ,"12midnight – 5am, 7pm – 12midnight (Mon-Sun)",16,3.6,Frazer Town,1,1,1, ,0,1
Aagaman Veg,900,2, ,"11am – 3:30pm, 7pm – 11pm (Mon-Sun)",529,3.9,Indiranagar,1,1,0, ,0,0
Aaha,350,3,1,"5pm – 12midnight (Mon-Tue),9:30am – 12midnight...",88,3.7,Brookefield,1,1,1, ,0,1
Aaha Andhra,500,4,1,12noon – 11pm (Mon-Sun),774,4.1,Indiranagar,1,1,1,4,0,1
Aahar Utsav,350,4, ,6am – 11pm (Mon-Sun),63,3,Banashankari,1,1,1, ,0,0
Aahara Vihar,300,3, ,5:30am – 10pm (Mon-Sun),13,3.6,Malleshwaram, ,1,0, ,0,1
Aaharaa,200,2, ,6:30am – 10:30pm (Mon-Sun),40,3.5,Rammurthy Nagar,1,1,1, ,0,1
Aalishan Restaurant & Caterer,650,2, ,12noon – 11pm (Mon-Sun),871,3.5,Koramangala 7th Block,1,1,1, ,0,1
Aami Bangali,500,2, ,11:30am – 11:30pm (Mon-Sun),49,3.5,Koramangala 5th Block,1,1,1, ,0,1
