Name,Cost,Cuisine,Featured_in,Hours,Votes,Rating,Location,Type,View_menu,Book_table,Outlets,Delivery,Call
Blindfold,1100,3, ,"12:30pm – 2:30pm, 3:30pm – 5:30pm, 7pm –...",66,3.8,RT Nagar,1,1,0, ,0,1
Bling - The Zuri,2100,2, ,"11am – 11:30pm (Mon, Tue, Wed, Thu, Sun), 11am –...",220,3.7,The Zuri Hotels,1,1,0, ,1,1
Blistering Barnacles,1200,4,1,"11am – 11pm (Mon, Tue, Wed, Thu, Sun), 11am –...",1202,3.9,Indiranagar,1,1,1, ,0,1
Bloomsbury's Global Kitchen & Bakehouse,900,8,1,11am – 11pm (Mon-Sun),632,4.7,Whitefield,2,1,1, ,1,1
BLOW,750,3,1,11am – 1am (Mon-Sun),851,4.1,Church Street,1,1,1, ,0,1
Blue Bar - The Taj West End,2500,1, ,"4:30pm – 11:30pm (Mon, Tue, Wed, Thu, Sun), 4:30pm...",108,4,"The Taj West End, Race Course Road",1,1,1, ,0,1
Blue Coriander - Lords Eco Inn,1000,3,1,12noon – 12midnight (Mon-Sun),16,3.3,Mysore Road,1,1,0, ,0,1
Blue Frog,1600,2, ,"12noon – 11:30pm (Mon, Tue, Wed, Thu, Sun), 12noon...",697,3.9,Church Street,2,1,1, ,0,1
Blue Ginger - The Taj West End,3200,1,2,"12:30pm – 2:45pm, 7:30pm – 11pm (Mon-Sun)",494,4.4,"The Taj West End, Race Course Road",1,1,1, ,0,1
Blue Moustache,1000,2, ,"11am – 11pm (Mon-Thu),11am – 12midnight (Fri-Sun)",482,3.8,Koramangala 7th Block,1,0,0, ,0,1
Blue Terrain - Novotel,2000,3,1,"6pm – 1am (Mon, Thu), 12midnight – 1am, 6pm –...",484,4.2,"Novotel Bengaluru, Marathahalli",1,1,1, ,0,1
Blue Wings Bar & Restaurant,700,2, ,11am – 11pm (Mon-Sun),39,3.7,Banashankari,1,1,0, ,0,1
BluO,1500,2, ,10:30am – 10:30pm (Mon-Sun),395,4.1,"Orion Mall, Malleshwaram",1,1,1, ,0,1
Bob's Restaurant,500,2, ,"12:30pm – 3pm, 7:30pm – 11:45pm (Mon),12:30pm...",321,4,Jeevan Bhima Nagar,1,1,1, ,0,1
Bobacha,300,3,1,11am – 11pm (Mon-Sun),65,4,"Ascendas Park Square, Whitefield",1,1,1, ,0,1
Bobby's Dhaba,250,1, ,"Closed (Mon),12noon – 4pm, 7pm – 11pm (Tue-Sun)",60,4,Yeshwantpur,1,1,0, ,0,1
Boho,1200,5,2,"12noon – 11:30pm (Mon-Thu),12noon – 12:30AM...",1445,4.2,Koramangala 5th Block,2,1,1, ,0,1
Bold,1200,3,1,"12noon – 11:30pm (Mon-Tue),12noon – 1am (Wed-Sun)",711,3.9,Marathahalli,2,1,1, ,0,0
Bologna,1200,1,3,"12noon – 3:30pm, 6:30pm – 11pm (Mon),12noon –...",546,4.5,Indiranagar,1,1,1, ,0,1
Bombay Adda,1100,1, ,12noon – 1am (Mon-Sun),1321,4.3,Koramangala 7th Block,2,1,1, ,0,1
Bombay Brasserie,1500,1, ,"12noon – 11pm (Mon-Thu),12noon – 12midnight...",1723,4.4,Indiranagar,1,1,1,1,0,1
Bombay Chowpaty Kulfi,250,2,1,2:30pm – 11:30pm (Mon-Sun),260,4.2,Frazer Town,1,1,0,2,0,1
Bombay Kulfi,150,2, ,11am – 11:30pm (Mon-Sun),32,3.5,Marathahalli,1,1,1,8,0,1
Bombay Kulfis,200,1, ,12noon – 11pm (Mon-Sun),39,3.7,HSR,1,1,0,16,1,1
Bombay Sandwich Company,400,3,1,10am – 10pm (Mon-Sun),34,3.8,Hennur,1,0,0,4,0,0
Bombay Vada Pav Corner,150,1, ,10am – 10pm (Mon-Sun),73,4.1,Seshadripuram,1,1,0, ,0,1
Bon Appetit Resto,300,2,1,"12midnight – 2am, 6pm – 12midnight (Mon-Sun)",18,3.8,New BEL Road, ,1,1, ,0,1
Bon Aroma,1000,3, ,"11am – 3:30pm, 7pm – 11pm (Mon-Sun)",188,3.5,Jayanagar,1,1,1, ,0,1
Bon Baker,1000,1, ,10am – 7pm (Mon-Sun),19,3.8,Whitefield,1,1,0, ,0,1
Bon Sante,800,3, ,7am – 11pm (Mon-Sun),102,3.6,Brigade Road,1,1,1, ,0,0
Bonfooder,400,1,1,"Closed (Mon),12noon – 3pm, 7pm – 10pm...",32,3.9,Sarjapur Road,1,1,1, ,0,0
BonSouth,1500,3,2,"12noon – 3:30pm, 7pm – 11pm (Mon-Sun)",2561,4.3,Koramangala 5th Block,1,1,1, ,0,1
Boondock Bistro,900,6,2,"11am – 11pm (Mon-Fri),8am – 11pm (Sat-Sun)",1554,4.1,Whitefield,1,1,1, ,0,1
Bootlegger,1200,2,1,10am – 1am (Mon-Sun),1525,4.1,Lavelle Road, ,1,0,1,0,1
Boozers Bar & Kitchen,1400,7,1,12noon – 1am (Mon-Sun),678,4.3,Indiranagar,2,1,1, ,1,1
Borah's Kitchen,250,2, ,12noon – 11pm (Mon-Sun),8,3.3,BTM,1,1,1, ,0,0
Boston Barista - Kappayum Curriyum,350,1,1,11am – 11pm (Mon-Sun),61,3.7,BTM,1,1,1, ,0,1
Bottle & Glass,1400,3,1,"11:39am – 12midnight (Mon),11:30am – 12midnight...",938,4,Indiranagar,1,1,1, ,0,1
Bottle Breacher,1200,2, ,12noon – 12midnight (Mon-Sun),1047,4.1,JP Nagar,2,1,1, ,1,1
Bowlful,500,1, ,11:30am – 11pm (Mon-Sun),12,3.6,Domlur,1,1,1, ,0,0
Box of Biryani,400,3, ,11am – 6am (Mon-Sun),9,3.4,Koramangala 6th Block,1,1,0, ,0,1
BOX8- Desi Meals,500,6,1,11am – 12:30AM (Mon-Sun),26,4.5,Hosur Road,1,1,1,32,0,1
Bozo's Yum Yums,650,3, ,10am – 1am (Mon-Sun),86,4.1,Frazer Town,1,1,1, ,0,1
BR Military Hotel,300,1, ,"11am – 3:30pm, 6:30pm – 11:30pm (Mon-Sun)",6,3.1,Indiranagar,1,1,0, ,0,1
Brahmashree Upahar,400,2, ,7am – 10pm (Mon-Sun),4,3.4,Kengeri,1,1,0, ,0,1
Brahmin Cafe,150,1, ,7am – 10pm (Mon-Sun),7,3.4,Banashankari,1,0,0, ,0,1
BRAHMIN HOME FOOD,350,1, ,7am – 9pm (Mon-Sun),39,3.5,Indiranagar,1,1,1, ,0,1
Brahmin Tiffins & Coffee,100,1, ,6:45am – 9pm (Mon-Sun),403,4.2,Jayanagar, ,1,0, ,0,1
Brahmin's Cafe,200,1, ,"7:30am – 8pm (Mon-Sat),Closed (Sun)",21,3.5,Brigade Road,1,1,0, ,0,1
Brahmin's Coffee Bar,100,1,3,"6am – 12noon, 3pm – 7pm (Mon-Sat),Closed (Sun)",2592,4.8,Basavanagudi,1,1,0, ,0,0
Brahmin's Kitchen,100,1, ,8am – 10pm (Mon-Sun),37,3.6,Sahakara Nagar,1,1,0, ,0,1
Brahmins Food Corner,400,3, ,"7am – 10:30pm (Mon-Sat),7am – 1:30pm (Sun)",58,3.8,Jalahalli,1,0,0, ,0,1
Brahmins' Thatte Idli,100,1, ,"7am – 12noon, 4:30pm – 8pm (Mon-Sun)",152,3.8,Kalyan Nagar,1,1,1,8,1,1
Bramhin Tiffins,150,1, ,6:30am – 9:30pm (Mon-Sun),7,3.4,JP Nagar,1,1,0, ,0,1
BREA@Avirbhav,300,3, ,9:30am – 9:30pm (Mon-Sun),6,3.3,Yelahanka,1,1,1,2,0,1
Bread and Circus,550,4, ,9:30am – 9:30pm (Mon-Sun),47,3.7,Shanti Nagar,1,1,1, ,0,0
Bread Crumbs Bakery,250,2, ,"8:30am – 9:30am (Mon),7am – 10pm (Tue-Sun)",146,4,Bannerghatta Road,1,1,0, ,0,1
Breadworks,500,2, ,"8:30am – 10pm (Mon, Wed, Thu, Fri), 8:30am –...",51,3.4,Sahakara Nagar,2,1,0,1,0,1
Bready Steady Go,300,2, ,"4pm – 9:30pm (Mon, Wed, Thu, Fri, Sat, Sun)...",197,4.3,Jayanagar,1,1,1, ,0,1
Breakfast House,300,2, ,7am – 10pm (Mon-Sun),46,3.7,"ITPL Main Road, Whitefield",1,1,0, ,0,1
Breaking Bread,300,2, ,"Closed (Mon-Fri),4pm – 9:30pm (Sat-Sun)",10,3.4,Sahakara Nagar,1,0,0, ,0,1
Breaktime Brew,550,1, ,"10:30am – 8:30pm (Mon-Sat),Closed (Sun)",22,3.7,Koramangala 7th Block,1,1,1, ,0,1
Breeze,1500,3,1,11am – 11pm (Mon-Sun),74,3.8,"RG Royal Hotels, Yeshwantpur",2,1,1, ,0,1
Breezy Cow Bar,250,1, ,10am – 12midnight (Mon-Sun),88,4,Kalyan Nagar,1,1,1,1,0,1
Brew and Barbeque - A Microbrewery Pub,1400,4,4,"12:30pm – 11:30pm (Mon-Tue),12:30pm – 1am (Wed-Sun)",4653,4.9,"Soul Space Arena Mall, Marathahalli",2,1,1, ,0,1
Brew Bakes Cafe,500,1, ,10:30am – 11pm (Mon-Sun),44,3.7,Kalyan Nagar,1,1,1,2,0,1
Brew Meister,1300,7,3,"12midnight – 1am, 11am – 12midnight (Mon-Sun)",876,4.1,Jayanagar,2,1,1, ,0,1
Brewbakes,450,4, ,11:45am – 11pm (Mon-Sun),24,3.8,Koramangala 5th Block,1,1,1,1,0,1
Brewklyn Microbrewery,1400,5,4,"12:30pm – 11:30pm (Mon, Tue, Wed, Thu, Sun)...",2087,4.4,Kalyan Nagar,1,1,1, ,0,1
Brewsky,1600,2,2,"12:30pm – 12:30AM (Mon-Thu),12noon – 12:30AM...",4066,4.3,JP Nagar,1,1,1, ,0,1
Brewz Coffee,650,1, ,10:30am – 10:30pm (Mon-Sun),59,3,BTM,1,1,1, ,0,1
Bricklane,1500,4,2,"7am – 3:30pm, 7pm – 11pm (Mon, Tue, Wed, Thu...",1572,4.2,"Escape Hotel & Spa, Indiranagar",1,1,1, ,1,1
Brik Oven,1100,3,2,12noon – 10:30pm (Mon-Sun),2089,4.6,Church Street,1,1,0, ,0,1
Brilram's Balaji Bhavan,500,1, ,7am – 10:30pm (Mon-Sun),96,3.8,Whitefield,1,0,0, ,0,1
Brimstone Cafe,1300,6, ,"11am – 11pm (Mon-Fri),9am – 11pm (Sat-Sun)",362,4,HSR,2,1,1, ,0,1
Broadway - The Gourmet Theatre,1800,6,4,"12noon – 11pm (Mon-Thu),12noon – 12midnight...",1023,4.3,HSR,1,1,1, ,0,1
Brooks and Bonds Brewery,1500,5,5,12noon – 1am (Mon-Sun),2999,4.3,Koramangala 5th Block,2,1,1, ,1,1
Brownie Heaven,300,2, ,12noon – 12midnight (Mon-Sun),106,4.3,Indiranagar,2,1,1,2,0,1
Brownie Points,300,2,1,11am – 11pm (Mon-Sun),23,3.7,Koramangala 4th Block,1,0,0, ,0,1
Brunch & Munch - Hotel Millennium Plaza,1200,4, ,"7am – 10:30am, 12noon – 11:30pm (Mon-Sun)",21,3.5,"Hotel Millennium Plaza, Electronic City", ,1,0, ,0,1
Bruncherz,200,2, ,9am – 11pm (Mon-Sun),15,3.5,BTM,1,1,0, ,0,1
Brunchilly,1300,2, ,7am – 11pm (Mon-Sun),180,4,Marathahalli,1,1,1, ,0,1
Brundhavan Biriyani House,400,3, ,"11am – 4pm, 7pm – 11pm (Mon-Sun)",164,3.7,Rajarajeshwari Nagar,1,1,1, ,0,1
Brundhavana Food Point,300,2, ,6am – 10:30pm (Mon-Sun),167,3.9,Kumaraswamy Layout,1,1,1, ,0,1
Brundhavana Pure Veg,500,5, ,8am – 11pm (Mon-Sun),85,3.6,JP Nagar,1,1,1, ,0,0
BTDT? Been There Done That,1300,4,4,12noon – 12midnight (Mon-Sun),590,4.2,Indiranagar,1,1,1, ,0,1
BTM Bawarchi Biryani,600,3,1,7pm – 4am (Mon-Sun),128,3.6,BTM, ,1,1,1,0,1
BTM Cakes,400,2, ,10am – 10:30pm (Mon-Sun),6,3.3,BTM,1,1,1, ,0,1
Bubble Bee,350,3, ,11:30am – 11:30pm (Mon-Sun),29,3.8,HSR, ,1,1, ,0,1
Bubbles,450,1, ,11am – 11pm (Mon-Sun),21,3.7,Frazer Town,1,1,1, ,0,1
Bubblewrap Waffle Co.,400,2, ,1:30pm – 11:30pm (Mon-Sun),327,4.4,Jayanagar,1,1,1, ,1,1
Bucket Biriyani,250,1, ,11:30am – 11:30pm (Mon-Sun),9,3.4,Banaswadi,1,1,0, ,0,1
Buddha Treats,600,2,1,12noon – 4am (Mon-Sun),311,4.1,"Varthur Main Road, Whitefield",1,1,1, ,0,1
Budget Food,450,4, ,"11:30am – 3:30pm, 7pm – 10:30pm (Mon-Sun)",37,3.5,Old Airport Road,1,1,1, ,0,1
Budget Food,450,4, ,"11:30am – 3:30pm, 7pm – 10:30pm (Mon-Sun)",37,3.5,Old Airport Road,1,1,1, ,0,1
Buff Buffet Buff,1500,5,3,"7am – 10am, 12noon – 3:30pm, 7pm – 11:30pm...",2936,4.5,"BluPetal Hotel, Koramangala",2,1,1, ,1,1
Bufferia,1500,5,1,"12noon – 3:30pm, 7pm – 11pm (Mon-Sun)",285,4.1,Marathahalli,2,1,1, ,1,1
Bun Town,500,2, ,"9am – 12midnight (Mon-Thu),9am – 2am...",17,3.8,Koramangala 5th Block,1,1,1, ,0,1
Bun Town,500,2, ,"9am – 12midnight (Mon-Thu),9am – 2am...",17,3.8,Koramangala 5th Block,1,1,1, ,0,1
Bun World,250,3, ,7:30am – 9:30pm (Mon-Sun),125,3.8,Malleshwaram,1,1,0, ,0,1
Bundar,700,3,3,"12:30pm – 12:30AM (Mon-Fri),11am – 12:30AM...",2337,4.1,Koramangala 6th Block,1,1,0, ,0,1
Bunker Restaurant,300,4, ,"7am – 11pm (Mon, Tue, Wed, Fri, Sat, Sun), 7am –...",27,3.7,Sarjapur Road,1,1,0, ,0,0
Bunny Bakers,250,2, ,9am – 10:30pm (Mon-Sun),20,3.7,Vijay Nagar,1,1,0,1,0,0
Bunt's Biriyani Palace,350,5, ,"11am – 3:30pm, 6:30pm – 10:30pm (Mon-Sun)",198,2.9,Banashankari,1,1,1, ,0,1
Burger King,500,2, ,10am – 11pm (Mon-Sun),668,3.9,Kammanahalli,1,1,1,21,0,1
Burger Lounge,300,2, ,12noon – 3am (Mon-Sun),58,2.8,Koramangala 5th Block,1,1,1, ,0,1
Burger Man,200,2, ,11am – 10pm (Mon-Sun),13,3.1,Sahakara Nagar,1,1,0,1,0,1
Burgundy - Royal Orchid Suites,1200,1,1,7am – 11pm (Mon-Sun),97,3.9,"Royal Orchid Suites, Whitefield",1,1,1, ,0,1
Burma Burma,1500,2,4,"12noon – 3pm, 7pm – 11pm (Mon-Fri),12noon –...",1281,4.5,Indiranagar,1,0,0, ,0,1
Burp,800,4,1,11am – 11pm (Mon-Sun),571,4,New BEL Road,1,1,1,1,0,1
Burrito Boys,330,2, ,11am – 11pm (Mon-Sun),32,3.1,Bellandur,1,1,0,2,0,1
Butter Cup,250,2, ,11:30am – 7:30pm (Mon-Sun),9,3.5,Jayanagar,1,1,0,1,0,1
Butter Side Up,600,2, ,"10am – 5pm (Mon, Wed, Thu, Fri, Sat), Closed...",108,4.1,Bellandur,1,1,1, ,0,1
Buttercup Bakes,500,2, ,8am – 8pm (Mon-Sun),12,3.6,Rajajinagar,1,1,0, ,0,1
Butterly,450,6, ,7am – 10pm (Mon-Sun),90,3.8,Bannerghatta Road,2,0,0, ,0,1
Butterly Cafe,550,1, ,11am – 10pm (Mon-Sun),14,3.1,Whitefield,1,1,1, ,0,1
By 2 Cafe,100,1, ,"7am – 12noon, 4pm – 9pm (Mon-Sun)",5,3.3,Vijay Nagar,1,0,0, ,0,1
By 2 Coffee,100,1,1,"Closed (Mon),7am – 12noon, 4pm – 9:30pm (Tue-Sun)",303,4.3,Basavanagudi,1,1,1,6,0,1
By The Blue - Grand Mercure,1500,2,1,"3pm – 11:30pm (Mon-Fri),12noon – 11:30pm (Sat-Sun)",749,4.1,Grand Mercure,1,1,1, ,0,0
By Two Coffee,300,2, ,"7am – 12:30pm, 4pm – 9pm (Mon-Sun)",27,3.3,Basaveshwara Nagar,2,1,0, ,0,1
Byblos,1000,4, ,11am – 11:30pm (Mon-Sun),1308,4.1,Indiranagar,1,1,1, ,0,1
Byg Brewski Brewing Company,1600,3,2,12:30pm – 1am (Mon-Sun),3382,4.6,Hennur,1,1,1,1,0,1
BYLI - Bet You Love It!,800,4,2,9am – 11pm (Mon-Sun),1941,4.2,Kalyan Nagar,1,1,1, ,0,1
Byroute Eatery,450,3, ,11am – 10pm (Mon-Sun),44,3.7,Vijay Nagar,1,1,0, ,0,1
C 3 CAFE,850,2, ,9am – 10pm (Mon-Sun),14,3.2,Yelahanka,1,1,1, ,0,1
C Sharp Kitchen,600,3, ,8:30am – 1am (Mon-Sun),48,3.6,Church Street,1,1,1,1,0,1
C. K. Mega Hot Food,300,2, ,11:30am – 11:30pm (Mon-Sun),83,3.7,BTM,1,1,1, ,0,1
C. K. Mega Hot Food,300,2, ,11:30am – 11:30pm (Mon-Sun),83,3.7,BTM,1,1,1, ,0,1
Cable Car,1000,2,1,"12noon – 3:30pm, 7pm – 11pm (Mon-Sun)",1059,4.3,Jayanagar,1,1,1, ,0,1
Caf-Eleven,450,2, ,11am – 11pm (Mon-Sun),392,4.1,Banashankari,1,1,0, ,0,1
Cafe @ Elanza,1000,3, ,"7am – 10:30am, 12noon – 3pm, 7pm – 10:30pm...",144,3.7,Richmond Road,1,1,0, ,0,1
Cafe 22,700,2, ,11am – 11pm (Mon-Sun),9,3.3,Church Street,1,1,0, ,0,1
Cafe 221B,300,3, ,11am – 11pm (Mon-Sun),42,3.6,BTM, ,1,1, ,0,1
Cafe 60 Four,500,4, ,8am – 10pm (Mon-Sun),293,4.2,Yelahanka,1,1,1, ,0,1
Café 77 East - Taj Bangalore,2100,4, ,24 Hours (Mon-Sun),85,4.3,"Taj Bangalore, International Airport",1,1,1, ,0,1
Café 9,500,1, ,11am – 11pm (Mon-Sun),79,3.9,Jalahalli,1,1,0, ,0,1
Cafe 99 Kerala Mess,350,3, ,8am – 12midnight (Mon-Sun),13,3.5,Kalyan Nagar, ,1,1, ,0,1
Cafe Aira,500,8, ,"Closed (Mon),12:30pm – 9:30pm (Tue-Sun)",206,4.2,Basavanagudi,1,1,1, ,0,1
Cafe Ajfan,700,2,1,"11am – 10pm (Mon-Thu),11am – 11pm (Fri-Sun)",203,4.3,Jayanagar,1,1,0, ,0,1
Cafe Alchemist,300,2, ,"11am – 11pm (Mon, Sat, Sun), 11am – 11:30pm...",42,3.7,BTM,1,1,1, ,0,1
Cafe Arabica,700,2, ,7:30am – 10:30pm (Mon-Sun),67,3.8,Bannerghatta Road,1,1,0,1,0,1
Cafe At The Atelier,800,4,1,"Closed (Mon),2pm – 10pm (Tue-Fri),9am – 10pm...",477,4.2,Sarjapur Road,1,1,1, ,0,1
Cafe Azzure,1000,4,3,"11:30am – 11:30pm (Mon-Thu),11:30am – 12midnight...",2332,4.2,MG Road,1,1,1,1,0,1
Cafe Beirut,250,1, ,11am – 12midnight (Mon-Sun),34,3.8,Kammanahalli,1,1,1, ,0,1
Cafe Bengaluru,300,2, ,11am – 11pm (Mon-Sun),43,3.4,Magadi Road,1,1,1, ,0,0
Cafe Casavista,400,3, ,9am – 11pm (Mon-Sun),61,3.7,Jalahalli,1,1,0, ,0,1
Cafe Cassia& Deli,1000,3, ,11am – 8:30pm (Mon-Sun),109,4.1,Ulsoor,2,1,0, ,0,1
Cafe Centralis,600,1, ,8:30am – 11:30pm (Mon-Sun),112,2.9,New BEL Road,1,1,1, ,0,1
Cafe Cerrise,600,3, ,"11am – 7pm (Mon-Sat),Closed (Sun)",94,3.8,Ulsoor,1,1,1, ,0,1
Cafe Chai Garam Chai,500,2, ,7am – 11pm (Mon-Sun),28,3.9,International Airport,1,1,0, ,0,1
Cafe Coffee Day,650,1, ,10am – 11pm (Mon-Sun),26,3.4,New BEL Road,1,1,0,182,0,1
Cafe D'Costa,200,1, ,9am – 10pm (Mon-Sun),36,3.8,Frazer Town, ,1,0, ,0,1
Cafe D'hide,600,6,1,"9am – 11pm (Mon-Thu),8am – 11pm (Fri-Sun)",827,4.2,Koramangala 5th Block,1,1,1, ,0,1
Cafe De Gourmet,400,4, ,10am – 8pm (Mon-Sun),17,3.6,Hebbal,2,1,0, ,0,1
Cafe Delicas,800,1,1,10:30am – 10pm (Mon-Sun),5,3.3,"Attide Hotel, Jakkur",2,0,0, ,0,1
Café Delight,400,2, ,"8am – 10pm (Mon-Fri),8:30am – 10:30pm (Sat-Sun)",37,3.5,Marathahalli,2,1,1, ,0,1
Café Down The Alley,500,1,1,10am – 10pm (Mon-Sun),373,4.1,Banashankari,2,1,1, ,0,0
Café Felix,1700,3,1,"12noon – 11pm (Mon-Thu),12noon – 1am (Fri-Sun)",613,4.5,"1 MG Road Mall, MG Road",1,1,1, ,0,1
Cafe Forged,600,2, ,12noon – 11:30pm (Mon-Sun),49,4,Rajarajeshwari Nagar,1,1,0, ,0,1
Cafe Grill,300,3, ,11am – 11pm (Mon-Sun),445,4.1,Jeevan Bhima Nagar,1,1,1, ,0,1
Cafe Happytizing,600,5,1,"12noon – 11pm (Mon-Thu),10am – 11pm (Fri),8am...",196,4,Electronic City,1,1,1, ,0,1
Café High on Life,400,2, ,"10:30am – 1:30pm, 2:30pm – 9:30pm (Mon, Wed...",25,3.8,Rammurthy Nagar,1,1,1, ,0,1
Cafe HolyBelly,400,8, ,11am – 11pm (Mon-Sun),4,3.3,KR Puram,1,1,1, ,0,1
Cafe Hut - Tea,200,2, ,9am – 9pm (Mon-Sun),46,3.7,Kanakapura Road,1,1,1, ,0,1
Cafe Idly,200,1, ,8am – 10pm (Mon-Sun),80,3.7,Frazer Town,1,1,1,1,0,1
Cafe Iftar,300,3, ,5am – 12midnight (Mon-Sun),15,3.8,Frazer Town,1,0,0, ,0,1
Cafe Indiana,600,2, ,"10am – 10:30pm (Mon-Sat),Closed (Sun)",17,3.5,Bannerghatta Road,2,1,0, ,0,1
Cafe Jezve,500,1, ,10am – 10pm (Mon-Sun),19,3.9,Koramangala 5th Block,1,0,0,1,0,1
Cafe Kaara,750,4,1,9:30am – 10pm (Mon-Sun),131,4.2,Ulsoor,1,1,0, ,0,1
Cafe Kabana,650,3,2,11am – 11pm (Mon-Sun),122,4,Bannerghatta Road,2,1,1, ,0,1
Café Kaffea,400,4, ,11am – 11pm (Mon-Sun),51,4,Vijay Nagar,1,1,1, ,0,1
Cafe Kiara, ,3, ,"11am – 9:30pm (Mon-Sat),Closed (Sun)",97,4.1,Jalahalli, ,1,0, ,0,1
Cafe Madhura,200,1, ,7am – 10pm (Mon-Sun),48,3.9,HSR,1,1,1, ,0,1
Cafe Mamma Mia,600,3, ,11am – 9:30pm (Mon-Sun),233,3.7,Basaveshwara Nagar, ,1,0, ,1,1
Cafe Mandala,600,1, ,11am – 11pm (Mon-Sun),21,3.6,New BEL Road,1,1,1, ,0,1
Cafe Mangii,1600,3,1,11:30am – 11:30pm (Mon-Sun),1007,4.3,UB City,1,1,1, ,0,1
Cafe Max,1300,6, ,9am – 11pm (Mon-Sun),1616,4.3,Indiranagar,2,1,0, ,0,1
Cafe Medley,800,1, ,8am – 10:30pm (Mon-Sun),1009,4.3,Koramangala 5th Block,1,1,1, ,0,1
Cafe Mia,500,3, ,11am – 11pm (Mon-Sun),9,3.2,Jalahalli,1,1,0, ,0,1
Cafe Mist,500,4, ,11am – 10:30pm (Mon-Sun),177,3.8,JP Nagar,1,1,1, ,0,1
Cafe Mondo,700,4, ,10:30am – 11pm (Mon-Sun),475,3.6,HSR,2,1,1,1,0,1
Café Mor'ish,700,6,2,"11am – 10:30pm (Mon-Fri),10am – 10:30pm (Sat-Sun)",89,3.9,Richmond Road,1,1,1, ,1,1
Café Mor'ish,700,6,2,"11am – 10:30pm (Mon-Fri),10am – 10:30pm (Sat-Sun)",89,3.9,Richmond Road,1,1,1, ,1,1
Cafe Mozaic - Taj MG Road Bengaluru,2500,6,1,24 Hours (Mon-Sun),547,4,"Vivanta By Taj, MG Road",1,1,1, ,0,1
Cafe Natural,400,1, ,7:30am – 10pm (Mon-Sun),85,3.9,Sahakara Nagar,1,1,0, ,0,0
Cafe Noir,1500,3,1,10:30am – 11pm (Mon-Sun),2038,4.2,UB City,1,1,1,4,0,1
Cafe Nosh,500,3, ,12noon – 10:30pm (Mon-Sun),542,4.2,Sahakara Nagar,1,1,1,1,0,1
Cafe Nukkad,200,1, ,"9am – 9pm (Mon-Sat),Closed (Sun)",87,4,Kalyan Nagar, ,1,1, ,0,1
Cafe Oleiva,300,1, ,10am – 9:30am (Mon-Sun),5,3.4,Thippasandra, ,0,0, ,0,1
Cafe Olive,500,2, ,11am – 11pm (Mon-Sun),13,3.2,Marathahalli,1,1,0,1,0,1
Cafe Olive Planet,650,2, ,11am – 9pm (Mon-Sun),49,3.7,Yelahanka,1,1,0, ,0,1
Cafe On The Way,500,1, ,"Closed (Mon),9:30am – 2pm, 6pm – 9:30pm (Tue-Sun)",270,4,Koramangala 3rd Block,1,1,0, ,0,1
Cafe Orio,400,2, ,8:30am – 12midnight (Mon-Sun),146,4,BTM,1,1,0, ,0,1
Cafe P Square,250,3, ,"11am – 11pm (Mon-Sat),Closed (Sun)",22,3.7,Kalyan Nagar,1,1,1, ,0,1
Cafe Palmyra,2000,4,1,24 Hours (Mon-Sun),453,4.2,"Palm Meadows Club, Whitefield",2,1,1, ,0,1
Cafe Palnad,400,2, ,"6am – 11am, 6pm – 11pm (Mon-Sun)",56,4,Electronic City,1,1,0, ,0,1
Cafe Petu,300,1, ,10am – 10pm (Mon-Sun),364,3.9,Marathahalli,1,1,1, ,0,1
Cafe Pink Pajamas,600,2, ,"11:30am – 10:30pm (Mon-Fri),9:30am – 10:30pm...",481,4.1,Kalyan Nagar,1,1,1, ,0,1
Cafe Potpourri,300,6, ,7:30am – 10pm (Mon-Sun),113,3.7,JP Nagar,1,1,1, ,0,1
Cafe Rossini,700,3, ,9am – 11pm (Mon-Sun),418,3.8,New BEL Road,1,1,1, ,0,1
Cafe Royal,450,3, ,"Closed (Mon),11am – 10pm (Tue-Sun)",75,3.8,Rajarajeshwari Nagar,1,1,0, ,0,1
Café Secret Alley,450,2,1,"Closed (Mon),12:30pm – 11pm (Tue-Sun)",73,3.9,Indiranagar,1,1,1, ,0,1
Cafe Shuffle,600,2, ,11am – 11pm (Mon-Sun),112,4.1,Banashankari,2,1,1, ,0,1
Cafe Solaire - Golden Palms Hotel & Spa,1200,2, ,24 Hours (Mon-Sun),53,3.8,Golden Palms Hotel & Spa,1,1,0, ,0,1
Cafe Soul Valley,400,1, ,9am – 9:30pm (Mon-Sun),69,3.7,Hennur,1,1,1, ,0,1
Cafe Soy,250,1, ,11:30am – 10pm (Mon-Sun),45,3.8,Indiranagar,1,1,1, ,0,1
Cafe Srinidhi,200,4, ,6:30am – 10pm (Mon-Sun),85,2.8,Indiranagar,1,1,0, ,0,1
Cafe Terra,500,2, ,8am – 10:30pm (Mon-Sun),336,4.2,Indiranagar,1,1,1,1,0,1
Cafe Thulp,1000,4,3,"12:30pm – 3:30pm, 6:30pm – 10:30pm (Mon-Sun)",2965,4.1,Koramangala 1st Block,1,1,1,3,0,0
Cafe Tom & Bean,400,2, ,8am – 10pm (Mon-Sun),14,3.4,Jalahalli,1,1,0, ,0,1
Cafe Treat - The Pride Hotel,1000,3,1,7am – 11pm (Mon-Sun),115,4.1,The Pride Hotel,1,1,1, ,0,0
Cafe Velvette,400,4, ,"11:30am – 7pm (Mon-Fri),Closed (Sat-Sun)",11,3.5,Domlur,2,1,0, ,0,1
